timestamp,symbol,action,price,quantity,total_value,balance_before,balance_after,position_size,leverage,stop_loss,take_profit,prediction,confidence,regime,pnl,pnl_pct,trade_type,status,order_id
22-08-2025 04:16,API3USDT,SELL,1.584,1262.626263,2000.000001,10000,9000,1262.626263,2,1.61568,1.55232,0.115199808,0.115199808,"{'volatility': 'NORMAL', 'trend': 'SIDEWAYS', 'phase': 'SIDEWAYS'}",0,0,paper,executed,paper_1755816398257
22-08-2025 04:16,ADAUSDT,SELL,0.8571,2100.105005,1800,9000,8100,2100.105005,2,0.865671,0.839958,0.067813338,0.067813338,"{'volatility': 'LOW', 'trend': 'SIDEWAYS', 'phase': 'SIDEWAYS'}",0,0,paper,executed,paper_1755816398501
2025-08-22 16:51:44,ADAUSDT,SELL,0.839,2383.790226,1999.999999614,10000.0,9000.000000193,2383.790226,2,0.84739,0.79705,0.0923966694043752,0.0923966694043752,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755861704202
2025-08-22 16:51:44,BTCUSDT,SELL,112246.2,0.016036,1799.9800632000001,9000.000000193,8100.009968593,0.016036,2,113368.662,106633.89,0.042814863309323596,0.042814863309323596,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755861704421
2025-08-22 18:05:52,BTCUSDT,SELL,111719.58338043,0.017902,2000.0039816764581,10000.0,8999.99800916177,0.017902,2,113507.096715,106133.604211,0.5007761432899305,0.5007761432899305,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755866152127
2025-08-22 18:08:51,ETHUSDT,SELL,4209.19,0.427636,1800.00117484,8999.99800916177,8099.997421741771,0.427636,2,4276.53704,3998.7305,0.23552034794080928,0.23552034794080928,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755866331341
2025-08-22 18:13:01,1000PEPEUSDT,SELL,0.00995383,162751.371517,1619.9994843470602,8099.997421741771,7289.997679568241,162751.371517,2,0.010113,0.009456,0.8236062398596536,0.8236062398596536,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755866581961
2025-08-22 18:15:17,ADAUSDT,SELL,0.83104569,1754.415616,1457.9995361454949,7289.997679568241,6560.997911495494,1754.415616,2,0.844342,0.789493,0.5468923414975367,0.5468923414975367,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755866717955
2025-08-22 18:15:50,AIOTUSDT,SELL,1.44564869,907.689117,1312.1995829183068,6560.997911495494,5904.89812003634,907.689117,2,1.474562,1.373366,0.6428726995901627,0.6428726995901627,"{'volatility': 'NORMAL', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755866750944
2025-08-22 18:17:55,XRPUSDT,SELL,2.8152,419.501145,1180.979623404,5904.89812003634,5314.408308334339,419.501145,2,2.860243,2.67444,0.7958586811276168,0.7958586811276168,"{'volatility': 'LOW', 'trend': 'WEAK_TREND', 'phase': 'SIDEWAYS'}",0.0,0.0,paper,executed,paper_1755866875046
